"Subject_ID","acc1","acc2","acc3","acc4","acc5","acc6","acc7","acc8","acc9","acc10","acc11","acc12","acc13","acc14","acc15","acc16","acc17","acc18","acc19","acc20"
155,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1
156,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1
158,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
160,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0
161,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1
162,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1
164,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
165,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1
166,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1
171,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1
